observation_date,M2SL
1960-01-01,304.3
1961-01-01,324.8
1962-01-01,350.1
1963-01-01,379.6
1964-01-01,409.3
1965-01-01,442.5
1966-01-01,471.4
1967-01-01,503.6
1968-01-01,545.3
1969-01-01,578.7
1970-01-01,601.5
1971-01-01,674.4
1972-01-01,758.2
1973-01-01,831.8
1974-01-01,880.6
1975-01-01,963.5
1976-01-01,1086.5
1977-01-01,1221.2
1978-01-01,1322.2
1979-01-01,1425.7
1980-01-01,1540.2
1981-01-01,1679.3
1982-01-01,1830.9
1983-01-01,2054.5
1984-01-01,2219.0
1985-01-01,2416.5
1986-01-01,2612.8
1987-01-01,2782.3
1988-01-01,2931.1
1989-01-01,3054.0
1990-01-01,3222.2
1991-01-01,3342.1
1992-01-01,3404.6
1993-01-01,3439.8
1994-01-01,3483.4
1995-01-01,3555.6
1996-01-01,3729.0
1997-01-01,3925.7
1998-01-01,4206.5
1999-01-01,4518.1
2000-01-01,4792.1
2001-01-01,5209.1
2002-01-01,5598.3
2003-01-01,5988.3
2004-01-01,6274.0
2005-01-01,6541.2
2006-01-01,6885.0
2007-01-01,7308.3
2008-01-01,7804.4
2009-01-01,8433.6
2010-01-01,8645.8
2011-01-01,9277.1
2012-01-01,10065.2
2013-01-01,10740.9
2014-01-01,11399.9
2015-01-01,12055.9
2016-01-01,12869.9
2017-01-01,13596.4
2018-01-01,14115.3
2019-01-01,14837.0
2020-01-01,17667.2
2021-01-01,20517.7
2022-01-01,21569.6
2023-01-01,20810.3
